ticker,membership_evidence,membership_source_url,source_as_of_date,notes
ABT,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
ADM,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
AEP,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
BA,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
BMY,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
CAT,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
CL,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
CMS,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
COP,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
CSX,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
CVS,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
CVX,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
DE,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
DTE,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
ED,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
EIX,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
ETN,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
ETR,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
EXC,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
F,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
GD,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
GE,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
GIS,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
HAL,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
HIG,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
HON,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
HSY,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
IBM,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
IP,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
KMB,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
KO,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
KR,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
LMT,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
MMM,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
MO,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
MRK,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
MSI,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
NOC,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
NSC,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
OXY,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
PEG,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
PEP,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
PFE,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
PG,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
PPG,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
RTX,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
SLB,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
SO,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
SPGI,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
UNP,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
